iteration,dataset,algorithm,support,time,memory
4,Retail,FIM Apriori,0.6,0.07230377197265625,0.0234375
4,Retail,FIM Apriori,0.7,0.07630157470703125,0.08984375
4,Retail,FIM Apriori,0.8,0.07258248329162598,0.046875
4,Retail,FIM Apriori,0.9,0.07680153846740723,0.0234375
4,Retail,FIM Eclat,0.1,0.07662391662597656,0.0546875
4,Retail,FIM Eclat,0.2,0.07492446899414062,0.04296875
4,Retail,FIM Eclat,0.3,0.07711362838745117,0.02734375
4,Retail,FIM Eclat,0.4,0.07600665092468262,0.02734375
4,Retail,FIM Eclat,0.5,0.07567763328552246,0.0234375
4,Retail,FIM Eclat,0.6,0.07327866554260254,0.0234375
4,Retail,FIM Eclat,0.7,0.07361650466918945,0.0390625
4,Retail,FIM Eclat,0.8,0.07269120216369629,0.0234375
4,Retail,FIM Eclat,0.9,0.07413530349731445,0.03125
4,Kosarak,My Eclat,0.1,2.8713059425354004,434.5390625
4,Kosarak,My Eclat,0.2,2.8357372283935547,160.57421875
4,Kosarak,My Eclat,0.3,2.7625365257263184,159.83203125
4,Kosarak,My Eclat,0.4,2.751720666885376,151.515625
4,Kosarak,My Eclat,0.5,2.7116687297821045,143.39453125
4,Kosarak,My Eclat,0.6,2.7355706691741943,143.37890625
